open,high,low,close,volume,epoch_time,date_time
55.44,55.44,55.44,55.44,0,-1735408800000,1915-01-04 06:00:00
55.5,55.5,55.5,55.5,0,-1735322400000,1915-01-05 06:00:00
55.4,55.4,55.4,55.4,0,-1735236000000,1915-01-06 06:00:00
56.08,56.08,56.08,56.08,0,-1735149600000,1915-01-07 06:00:00
56.55,56.55,56.55,56.55,0,-1735063200000,1915-01-08 06:00:00
57.37,57.37,57.37,57.37,0,-1734804000000,1915-01-11 06:00:00
57.44,57.44,57.44,57.44,0,-1734717600000,1915-01-12 06:00:00
57.35,57.35,57.35,57.35,0,-1734631200000,1915-01-13 06:00:00
57.51,57.51,57.51,57.51,0,-1734544800000,1915-01-14 06:00:00
57.9,57.9,57.9,57.9,0,-1734458400000,1915-01-15 06:00:00
58.12,58.12,58.12,58.12,0,-1734199200000,1915-01-18 06:00:00
58.11,58.11,58.11,58.11,0,-1734112800000,1915-01-19 06:00:00
58.42,58.42,58.42,58.42,0,-1734026400000,1915-01-20 06:00:00
58.51,58.51,58.51,58.51,0,-1733940000000,1915-01-21 06:00:00
58.21,58.21,58.21,58.21,0,-1733853600000,1915-01-22 06:00:00
58.06,58.06,58.06,58.06,0,-1733594400000,1915-01-25 06:00:00
58.24,58.24,58.24,58.24,0,-1733508000000,1915-01-26 06:00:00
57.07,57.07,57.07,57.07,0,-1733421600000,1915-01-27 06:00:00
57.25,57.25,57.25,57.25,0,-1733335200000,1915-01-28 06:00:00
56.54,56.54,56.54,56.54,0,-1733248800000,1915-01-29 06:00:00
55.59,55.59,55.59,55.59,0,-1732989600000,1915-02-01 06:00:00
57.26,57.26,57.26,57.26,0,-1732903200000,1915-02-02 06:00:00
56.9,56.9,56.9,56.9,0,-1732816800000,1915-02-03 06:00:00
56.83,56.83,56.83,56.83,0,-1732730400000,1915-02-04 06:00:00
56.16,56.16,56.16,56.16,0,-1732644000000,1915-02-05 06:00:00
56.31,56.31,56.31,56.31,0,-1732384800000,1915-02-08 06:00:00
56.85,56.85,56.85,56.85,0,-1732298400000,1915-02-09 06:00:00
57.05,57.05,57.05,57.05,0,-1732212000000,1915-02-10 06:00:00
57.83,57.83,57.83,57.83,0,-1732125600000,1915-02-11 06:00:00
57.02,57.02,57.02,57.02,0,-1731780000000,1915-02-15 06:00:00
56.64,56.64,56.64,56.64,0,-1731693600000,1915-02-16 06:00:00
55.7,55.7,55.7,55.7,0,-1731607200000,1915-02-17 06:00:00
55.53,55.53,55.53,55.53,0,-1731520800000,1915-02-18 06:00:00
55.38,55.38,55.38,55.38,0,-1731434400000,1915-02-19 06:00:00
54.4,54.4,54.4,54.4,0,-1731088800000,1915-02-23 06:00:00
54.22,54.22,54.22,54.22,0,-1731002400000,1915-02-24 06:00:00
54.61,54.61,54.61,54.61,0,-1730916000000,1915-02-25 06:00:00
55.02,55.02,55.02,55.02,0,-1730829600000,1915-02-26 06:00:00
55.29,55.29,55.29,55.29,0,-1730570400000,1915-03-01 06:00:00
55.66,55.66,55.66,55.66,0,-1730484000000,1915-03-02 06:00:00
55.88,55.88,55.88,55.88,0,-1730397600000,1915-03-03 06:00:00
56.0,56.0,56.0,56.0,0,-1730311200000,1915-03-04 06:00:00
56.51,56.51,56.51,56.51,0,-1730224800000,1915-03-05 06:00:00
56.98,56.98,56.98,56.98,0,-1729965600000,1915-03-08 06:00:00
56.88,56.88,56.88,56.88,0,-1729879200000,1915-03-09 06:00:00
56.66,56.66,56.66,56.66,0,-1729792800000,1915-03-10 06:00:00
56.86,56.86,56.86,56.86,0,-1729706400000,1915-03-11 06:00:00
56.66,56.66,56.66,56.66,0,-1729620000000,1915-03-12 06:00:00
56.7,56.7,56.7,56.7,0,-1729360800000,1915-03-15 06:00:00
56.59,56.59,56.59,56.59,0,-1729274400000,1915-03-16 06:00:00
56.67,56.67,56.67,56.67,0,-1729188000000,1915-03-17 06:00:00
56.57,56.57,56.57,56.57,0,-1729101600000,1915-03-18 06:00:00
56.98,56.98,56.98,56.98,0,-1729015200000,1915-03-19 06:00:00
58.1,58.1,58.1,58.1,0,-1728756000000,1915-03-22 06:00:00
59.1,59.1,59.1,59.1,0,-1728669600000,1915-03-23 06:00:00
59.26,59.26,59.26,59.26,0,-1728583200000,1915-03-24 06:00:00
59.25,59.25,59.25,59.25,0,-1728496800000,1915-03-25 06:00:00
59.51,59.51,59.51,59.51,0,-1728410400000,1915-03-26 06:00:00
60.13,60.13,60.13,60.13,0,-1728151200000,1915-03-29 06:00:00
61.3,61.3,61.3,61.3,0,-1728064800000,1915-03-30 06:00:00
60.83,60.83,60.83,60.83,0,-1727978400000,1915-03-31 06:00:00
61.05,61.05,61.05,61.05,0,-1727892000000,1915-04-01 06:00:00
62.29,62.29,62.29,62.29,0,-1727546400000,1915-04-05 06:00:00
62.78,62.78,62.78,62.78,0,-1727460000000,1915-04-06 06:00:00
62.55,62.55,62.55,62.55,0,-1727373600000,1915-04-07 06:00:00
63.15,63.15,63.15,63.15,0,-1727287200000,1915-04-08 06:00:00
65.02,65.02,65.02,65.02,0,-1727200800000,1915-04-09 06:00:00
64.66,64.66,64.66,64.66,0,-1726941600000,1915-04-12 06:00:00
65.54,65.54,65.54,65.54,0,-1726855200000,1915-04-13 06:00:00
66.14,66.14,66.14,66.14,0,-1726768800000,1915-04-14 06:00:00
67.42,67.42,67.42,67.42,0,-1726682400000,1915-04-15 06:00:00
69.36,69.36,69.36,69.36,0,-1726596000000,1915-04-16 06:00:00
67.86,67.86,67.86,67.86,0,-1726336800000,1915-04-19 06:00:00
68.64,68.64,68.64,68.64,0,-1726250400000,1915-04-20 06:00:00
68.43,68.43,68.43,68.43,0,-1726164000000,1915-04-21 06:00:00
68.2,68.2,68.2,68.2,0,-1726077600000,1915-04-22 06:00:00
68.65,68.65,68.65,68.65,0,-1725991200000,1915-04-23 06:00:00
68.97,68.97,68.97,68.97,0,-1725732000000,1915-04-26 06:00:00
68.9,68.9,68.9,68.9,0,-1725645600000,1915-04-27 06:00:00
70.22,70.22,70.22,70.22,0,-1725559200000,1915-04-28 06:00:00
70.95,70.95,70.95,70.95,0,-1725472800000,1915-04-29 06:00:00
71.78,71.78,71.78,71.78,0,-1725386400000,1915-04-30 06:00:00
69.54,69.54,69.54,69.54,0,-1725127200000,1915-05-03 06:00:00
69.58,69.58,69.58,69.58,0,-1725040800000,1915-05-04 06:00:00
67.53,67.53,67.53,67.53,0,-1724954400000,1915-05-05 06:00:00
68.23,68.23,68.23,68.23,0,-1724868000000,1915-05-06 06:00:00
